sno,MedName,LocA,LocB,LocC,LocD
1, AFO,49631,17239,60774,49438
2, Biospore,25389,83910,53377,114341
3, Candistat,35706,39142,27204,107540
4, Canditral,39914,108509,56489,74195
5, Citroz,47013,89399,88453,71854
6, Fulcover,114031,92008,92221,77478
7, Fungitrace,53474,103569,46116,45400
8, Icoz,29727,99743,86220,75293
9, Itaspor,23549,82997,83133,41968
10, Itra,89887,19266,43555,99767
11, Itral,75915,109089,19351,47873
12, Itrole,33418,49301,75683,51683
13, Sporanox,61703,114920,83830,71116
14, Acmox,41604,49784,101624,36065
15, Amoxipen,45147,51624,26387,75199
16, Amoxylac D Syp.,33372,112793,36752,114207
17, Amoxylac D Syp.,77740,38467,70805,93145
18, Amyn,36721,65744,54538,71891
19, Benimox,68043,112927,18984,47628
20, Benimox,112339,33924,79849,107927
21, Benimox,22062,108224,16280,71959
22, Biomoxil,58121,70940,60694,65890
23, Comoxyl,85748,63855,96663,34288
24, Delamin,26126,44796,60349,68454
25, Dynamox,14661,96423,56667,12049
26, Erox,33440,28876,23544,22851
27, Finemox,43414,70849,97335,35728
28, Glamoxin,13911,96245,37481,53180
29, Hipen,113583,111026,106123,28877
30, Hipen,92885,53291,59009,30051
31, Hycimox,112579,93301,106075,91070
32, Imox,63030,103106,84344,59887
33, Inmox,94372,19304,77876,68218
34, Jetmox,95804,88819,80541,117158
35, Licamox,30938,23843,39410,102041
36, Magcil,15589,33650,43926,44370
37, Magcil,47758,34772,39907,54657
38, Mox,37095,97814,32908,29158
39, Mox,84990,95523,46087,82098
40, Mox,20953,94611,99494,97447
41, Mox,83200,47901,15600,92616
42, Mox - Bd Distab,32235,98626,70954,42684
43, Moxica,63666,42783,67728,47463
44, Moxikind,19539,85259,58262,97650
45, Moxileb,58252,64869,27424,78175
46, Moxileb,70934,85181,56707,106488
47, Moxinol Kid Per Dt,93487,54629,30616,59702
48, Moxybiotic,57851,51317,31350,45950
49, Moxydil,97786,43367,60112,15745
50, Moxylar,67289,72118,29973,75605
51, Novamox Rediuse,78419,89956,98481,94800
52, Optimox,94368,110093,111387,40759
53, Optimox,77215,42177,70030,111218
54, Optimox,107778,30524,38098,56323
55, Pexomox,22847,40364,53600,109185
56, Radimox,64106,112206,95514,77604
57, Sermox,32393,48645,92371,51817
58, Taurmox,98511,104400,65421,26101
